cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
HRV;Croatie;GF0705;07 - Sante;Sante;07.5 - R-D dans le domaine de la sante;RetD dans le domaine de la sante;2003;0,02899
HRV;Croatie;GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.7 - Operations concernant la dette publique;Operations concernant la dette publique;2003;0,56323
HRV;Croatie;GF0201;02 - Defense;Defense;02.1 - Defense militaire;Defense militaire;2003;0,41719
HRV;Croatie;GF0505;05 - Protection de l environnement;Protection de l environnement;05.5 - R-D dans le domaine de la protection de l environnement;RetD dans le domaine de la protection de l'environnement;2003;0,00382
HRV;Croatie;GF0703;07 - Sante;Sante;07.3 - Services hospitaliers;Services hospitaliers;2003;0,97964
HRV;Croatie;GF0106;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.6 - Services generaux des administrations publiques n.c.a.;Services generaux des administrations publiques n.c.a.;2003;0,01723
HRV;Croatie;GF0701;07 - Sante;Sante;07.1 - Produits, appareils et materiels medicaux;Produits, appareils et materiels medicaux;2003;0,27864
HRV;Croatie;GF03;03 - Ordre et securite publics;Ordre et securite publics;03 - Ordre et securite publics;Ordre et securite publics;2003;0,74013
HRV;Croatie;GF0205;02 - Defense;Defense;02.5 - Defense n.c.a.;Defense n.c.a.;2003;0,01715
HRV;Croatie;GF0503;05 - Protection de l environnement;Protection de l environnement;05.3 - Lutte contre la pollution;Lutte contre la pollution;2003;0,01187
HRV;Croatie;GF0303;03 - Ordre et securite publics;Ordre et securite publics;03.3 - Tribunaux;Tribunaux;2003;0,17882
HRV;Croatie;GF06;06 - Logements et equipements collectifs;Logements et equipements collectifs;06 - Logements et equipements collectifs;Logement et developpement collectif;2003;0,57351
HRV;Croatie;GF0404;04 - Affaires economiques;Affaires economiques;04.4 - Industries extractives et manufacturieres, construction;Industries extractives et manufacturieres, construction;2003;0,05959
HRV;Croatie;GF0408;04 - Affaires economiques;Affaires economiques;04.8 - R-D concernant les affaires economiques;RetD concernant les affaires economiques;2003;0,07392
HRV;Croatie;GF0502;05 - Protection de l environnement;Protection de l environnement;05.2 - Gestion des eaux usees;Gestion des eaux usees;2003;0,06506
HRV;Croatie;GF0406;04 - Affaires economiques;Affaires economiques;04.6 - Communications;Communications;2003;0,00407
HRV;Croatie;GF0603;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.3 - Alimentation en eau;Alimentation en eau;2003;0,13802
HRV;Croatie;GF07;07 - Sante;Sante;07 - Sante;Sante;2003;1,94673
HRV;Croatie;GF0906;09 - Enseignement;Enseignement;09.6 - Services annexes a l enseignement;Services annexes a l'enseignement;2003;0,09926
HRV;Croatie;GF0706;07 - Sante;Sante;07.6 - Sante n.c.a.;Sante n.c.a.;2003;0,14032
HRV;Croatie;GF0105;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.5 - R & D concernant les services generaux des administrations publiques;RetD concernant des services generaux des administrations publiques;2003;0,04582
HRV;Croatie;GF04;04 - Affaires economiques;Affaires economiques;04 - Affaires economiques;Affaires economiques;2003;3,00536
HRV;Croatie;GF0202;02 - Defense;Defense;02.2 - Defense civile;Defense civile;2003;0,00014
HRV;Croatie;GF0905;09 - Enseignement;Enseignement;09.5 - Enseignement non defini par niveau;Enseignement non defini par niveau;2003;0,00906
HRV;Croatie;GF10;10 - Protection sociale;Protection sociale;10 - Protection sociale;Securite sociale et oeuvres sociales;2003;4,89123
HRV;Croatie;GF0908;09 - Enseignement;Enseignement;09.8 - Enseignement n.c.a.;Enseignement n.c.a.;2003;0,05526
HRV;Croatie;GF0601;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.1 - Logements;Logements;2003;0,11617
HRV;Croatie;GF0102;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.2 - Aide economique exterieure;Aide economique exterieure;2003;0,00013
HRV;Croatie;GF1003;10 - Protection sociale;Protection sociale;10.3 - Survivants;Survivants;2003;0,47882
HRV;Croatie;GF0805;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.5 - R-D dans le domaine des loisirs, de la culture et du culte;RetD dans le domaine des loisirs, de la culture et du culte;2003;0,03051
HRV;Croatie;GF0506;05 - Protection de l environnement;Protection de l environnement;05.6 - Protection de l environnement n.c.a.;Protection de l'environnement n.c.a.;2003;0,02829
HRV;Croatie;GF0902;09 - Enseignement;Enseignement;09.2 - Enseignement secondaire;Enseignement secondaire;2003;0,37773
HRV;Croatie;GF1002;10 - Protection sociale;Protection sociale;10.2 - Vieillesse;Vieillesse;2003;2,72133
HRV;Croatie;GF1009;10 - Protection sociale;Protection sociale;10.9 - Protection sociale n.c.a.;Protection sociale n.c.a.;2003;0,02673
HRV;Croatie;GF0204;02 - Defense;Defense;02.4 - R-D concernant la defense;R et D concernant la defense;2004;0
HRV;Croatie;GF0108;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.8 - Transferts de caractere general entre administrations publiques;Transferts de caractere general entre administrations publiques;2004;0
HRV;Croatie;GF0203;02 - Defense;Defense;02.3 - Aide militaire a des pays etrangers;Aide militaire a des pays etrangers;2004;0
HRV;Croatie;GF0703;07 - Sante;Sante;07.3 - Services hospitaliers;Services hospitaliers;2004;1,09937
HRV;Croatie;GF0505;05 - Protection de l environnement;Protection de l environnement;05.5 - R-D dans le domaine de la protection de l environnement;RetD dans le domaine de la protection de l'environnement;2004;0,00414
HRV;Croatie;GF0201;02 - Defense;Defense;02.1 - Defense militaire;Defense militaire;2004;0,52026
HRV;Croatie;GF0107;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.7 - Operations concernant la dette publique;Operations concernant la dette publique;2004;0,6513
HRV;Croatie;GF0705;07 - Sante;Sante;07.5 - R-D dans le domaine de la sante;RetD dans le domaine de la sante;2004;0,02979
HRV;Croatie;GF02;02 - Defense;Defense;02 - Defense;Defense nationale;2004;0,54028
HRV;Croatie;GF0403;04 - Affaires economiques;Affaires economiques;04.3 - Combustibles et energie;Combustibles et energie;2004;0,00812
HRV;Croatie;GF1005;10 - Protection sociale;Protection sociale;10.5 - Chomage;Chomage;2004;0,17918
HRV;Croatie;GF0405;04 - Affaires economiques;Affaires economiques;04.5 - Transports;Transports;2004;1,99908
HRV;Croatie;GF0304;03 - Ordre et securite publics;Ordre et securite publics;03.4 - Administration penitentiaire;Administration penitentiaire;2004;0,04854
