annee;cde_transaction;transaction;cde_pays;pays;cde_devise;devise;montant
2004;D29D;Impots sur les transactions internationales;AUT;Autriche;EUR;Euro;0
2004;D51C2;Impots sur les gains de detention des societes;AUT;Autriche;EUR;Euro;0
2004;D91C;Autres impots en capital n.c.a.;AUT;Autriche;EUR;Euro;0
2004;D59C;Impots sur la depense;AUT;Autriche;EUR;Euro;0
2004;D995FE;Cotisations sociales effectives a la charge des salaries dues non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D2122D;Impots generaux sur les ventes;AUT;Autriche;EUR;Euro;0
2004;D61SC;Remuneration du service des regimes d'assurance sociale (-);AUT;Autriche;EUR;Euro;0
2004;D59E;Impots sur les transactions internationales;AUT;Autriche;EUR;Euro;0
2004;D51C1;Impots sur les gains de detention des personnes physiques ou des menages;AUT;Autriche;EUR;Euro;0
2004;D995F;Cotisations sociales effectives a la charge des menages dues non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D995FS;Cotisations sociales effectives a la charge des travailleurs independants dues non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D59A;Impots courants sur le capital;AUT;Autriche;EUR;Euro;0
2004;D995G;Impots en capital dus non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D995D;Autres impots courants dus non recouvrables;AUT;Autriche;EUR;Euro;0
2004;D2122F;Benefices des monopoles sur l'importation;AUT;Autriche;EUR;Euro;0
2004;D51D;Taxes sur les gains des loteries et des paris;AUT;Autriche;EUR;Euro;0
2004;D995;Transferts en capital des administrations publiques vers les secteurs concernes correspondant a des impots et contributions sociales notifies mais non susceptible d'être perçus;AUT;Autriche;EUR;Euro;0
2004;D613CSN;Cotisations sociales obligatoires a la charge des travailleurs independants et des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;4535,82
2004;D214E;Taxes sur les spectacles et divertissements;AUT;Autriche;EUR;Euro;79,6
2004;D214F;Taxes sur les loteries, les jeux et les paris;AUT;Autriche;EUR;Euro;469,03
2004;D611C;Cotisations sociales effectives obligatoires a la charge des employeurs;AUT;Autriche;EUR;Euro;15859,71
2004;D59;Autres impots courants;AUT;Autriche;EUR;Euro;1906,49
2004;D2_D5_D91_D611_D613;Total des impots et des cotisations sociales;AUT;Autriche;EUR;Euro;101971,72
2004;D91A;Impots sur les transferts en capital;AUT;Autriche;EUR;Euro;154,38
2004;D29C;Impots sur la masse salariale ou les effectifs employes;AUT;Autriche;EUR;Euro;5721,43
