annee;cde_pays;pays;cde_mesure;mesure;cde_unite;unite;cde_domaine;domaine;valeur_mesuree
2013;BEL;Belgique;Menages vivant dans des logements surpeuples;Menages vivant dans des logements surpeuples;PT_HH;Pourcentage de menages;HSL_3;Logement;1,617439091
2013;BEL;Belgique;Accessibilite financiere du logement;Accessibilite financiere du logement;PT_B7G_S14;Pourcentage du revenu disponible brut ajuste des menages;HSL_3;Logement;79,34763196
2013;BEL;Belgique;Quintile superieur de la satisfaction a  l egard de la vie;Quintile superieur de la satisfaction a  l egard de la vie;FCTR_Q1_SCR_LIFE_SATISFACTION;Facteur de quintile de satisfaction a  l'egard de la vie les plus bas;HSL_11;Bien-aªtre subjectif;1,709900651
2013;BEL;Belgique;Quintile superieur de la satisfaction a  l egard des relations personnelles;Quintile superieur de la satisfaction a  l egard des relations personnelles;FCTR_Q1_SCR_PERS_REL_SATISFACTION;Facteur de quintile de satisfaction des relations personnelle les plus bas;HSL_7;Liens sociaux;1,775700505
2013;BEL;Belgique;Quintile superieur de la satisfaction a  l egard de l emploi du temps;Quintile superieur de la satisfaction a  l egard de l emploi du temps;FCTR_Q1_SCR_TIME_USE;Facteur de quintile de satisfaction a  l'egard de l'utilisation du temps les plus bas;HSL_4;Equilibre travail-vie;2,31311786
2013;BEL;Belgique;Satisfaction a  l egard de la vie;Satisfaction a  l egard de la vie;0_TO_10;Echelle 0-10;HSL_11;Bien-aªtre subjectif;7,528974551
2013;BEL;Belgique;Satisfaction a  l egard de l emploi du temps;Satisfaction a  l egard de l emploi du temps;0_TO_10;Echelle 0-10;HSL_4;Equilibre travail-vie;7,111382919
2013;BEL;Belgique;Satisfaction a  l egard des relations personnelles;Satisfaction a  l egard des relations personnelles;0_TO_10;Echelle 0-10;HSL_7;Liens sociaux;7,693840164
2013;BEL;Belgique;Esperance de vie a  la naissance;Esperance de vie a  la naissance;Y;Annees;HSL_5;Sante;80,7
2013;BEL;Belgique;Deces dus au suicide, a  l alcool ou a  la drogue;Deces dus au suicide, a  l alcool ou a  la drogue;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_5;Sante;21,4524873
2013;BEL;Belgique;Mortalite routiere;Mortalite routiere;DT_10P5HB;Deces pour 100 000 d'habitants;HSL_10;Securite;6,846241919
